% MOP_ID         ID             X              Y              RASTERVALU
           4602              1     194382.351    3818670.826         15.803
           4602              1     194382.285    3818673.825         14.991
           4602              1     194382.218    3818676.824         15.032
           4602              1     194382.151    3818679.824         16.552
           4602              1     194382.084    3818682.823         16.902
           4602              1     194382.017    3818685.822         18.031
           4602              1     194381.950    3818688.821         18.217
           4602              1     194381.884    3818691.821         18.569
           4602              1     194381.817    3818694.820         19.338
           4602              1     194381.750    3818697.819         20.093
           4602              1     194381.683    3818700.818         21.030
           4602              1     194381.616    3818703.818         21.946
           4602              1     194381.549    3818706.817         22.852
           4602              1     194381.483    3818709.816         23.752
           4602              1     194381.416    3818712.815         24.566
           4602              1     194381.349    3818715.815         25.221
           4602              1     194381.282    3818718.814         25.817
           4602              1     194381.215    3818721.813         26.301
           4602              1     194381.148    3818724.812         26.760
           4602              1     194381.082    3818727.812         27.195
           4602              1     194381.015    3818730.811         27.679
           4602              1     194380.948    3818733.810         28.105
           4602              1     194380.881    3818736.809         28.486
           4602              1     194380.814    3818739.809         28.849
           4602              1     194380.748    3818742.808         29.196
           4602              1     194380.681    3818745.807         29.505
           4602              1     194380.614    3818748.806         29.744
           4602              1     194380.547    3818751.806         29.938
           4602              1     194380.480    3818754.805         30.107
           4602              1     194380.413    3818757.804         30.325
           4602              1     194380.347    3818760.803         30.622
           4602              1     194380.280    3818763.803         30.970
           4602              1     194380.213    3818766.802         31.265
           4602              1     194380.146    3818769.801         31.440
           4602              1     194380.079    3818772.800         31.496
           4602              1     194380.012    3818775.800         31.519
           4602              1     194379.946    3818778.799         31.575
           4602              1     194379.879    3818781.798         31.760
           4602              1     194379.812    3818784.798         32.076
           4602              1     194379.745    3818787.797         32.539
           4602              1     194379.678    3818790.796         33.117
           4602              1     194379.611    3818793.795         33.674
           4602              1     194379.545    3818796.795         34.144
           4602              1     194379.478    3818799.794         34.530
           4602              1     194379.411    3818802.793         34.834
           4602              1     194379.344    3818805.792         35.090
           4602              1     194379.277    3818808.792         35.363
           4602              1     194379.210    3818811.791         35.647
           4602              1     194379.144    3818814.790         35.840
           4602              1     194379.077    3818817.789         35.923
           4602              1     194379.010    3818820.789         35.955
           4602              1     194378.943    3818823.788         36.000
           4602              1     194378.876    3818826.787         36.074
           4602              1     194378.809    3818829.786         36.167
           4602              1     194378.743    3818832.786         36.281
           4602              1     194378.676    3818835.785         36.412
           4602              1     194378.609    3818838.784         36.485
           4602              1     194378.542    3818841.783         36.547
           4602              1     194378.475    3818844.783         36.682
           4602              1     194378.409    3818847.782         36.980
           4602              1     194378.342    3818850.781         37.429
           4602              1     194378.275    3818853.780         38.028
           4602              1     194378.208    3818856.780         38.738
           4602              1     194378.141    3818859.779         39.319
           4602              1     194378.074    3818862.778         39.728
           4602              1     194378.008    3818865.777         39.991
           4602              1     194377.941    3818868.777         40.159
           4602              1     194377.874    3818871.776         40.282
           4602              1     194377.807    3818874.775         40.451
           4602              1     194377.740    3818877.774         40.724
           4602              1     194377.673    3818880.774         41.127
           4602              1     194377.607    3818883.773         41.635
           4602              1     194377.540    3818886.772         42.153
           4602              1     194377.473    3818889.771         42.557
           4602              1     194377.406    3818892.771         42.943
           4602              1     194377.339    3818895.770         43.468
           4602              1     194377.272    3818898.769         44.070
           4602              1     194377.206    3818901.768         44.587
           4602              1     194377.139    3818904.768         44.992
           4602              1     194377.072    3818907.767         45.357
