# this file can be loaded into matlab with csv2struct
fileName;Date
KB113_4544_19910101.asc;19910101
KB113_4544_19920101.ASC;19920101
KB113_4544_19930101.asc;19930101
KB113_4544_19940101.asc;19940101
KB113_4544_19950101.asc;19950101
KB113_4544_19960101.asc;19960101
KB113_4544_19970101.asc;19970101
KB113_4544_19980101.ASC;19980101
KB113_4544_19980701.asc;19980701
KB113_4544_20000101.asc;20000101
KB113_4544_20010101.asc;20010101
KB113_4544_20010130.asc;20010130
KB113_4544_20020101.asc;20020101
KB113_4544_20040101.asc;20040101
KB113_4544_20040317.asc;20040317
KB113_4544_20050101.asc;20050101
KB113_4544_20070309.asc;20070309
KB113_4746_19500101.asc;19500101
KB113_4746_19550101.asc;19550101
KB113_4746_19580101.asc;19580101
KB113_4746_19600101.asc;19600101
KB113_4746_19620101.asc;19620101
KB113_4746_19640101.ASC;19640101
KB113_4746_19650101.asc;19650101
KB113_4746_19660101.asc;19660101
KB113_4746_19670101.asc;19670101
KB113_4746_19680101.ASC;19680101
KB113_4746_19700101.asc;19700101
KB113_4746_19720101.ASC;19720101
KB113_4746_19740101.asc;19740101
KB113_4746_19760101.ASC;19760101
KB113_4746_19780101.asc;19780101
KB113_4746_19800101.ASC;19800101
KB113_4746_19820101.asc;19820101
KB113_4746_19830101.asc;19830101
KB113_4746_19840101.ASC;19840101
KB113_4746_19850101.asc;19850101
KB113_4746_19860101.asc;19860101
KB113_4746_19870101.asc;19870101
KB113_4746_19880101.asc;19880101
KB113_4746_19890101.ASC;19890101
KB113_4746_19900101.asc;19900101
KB113_4746_19910101.asc;19910101
KB113_4746_19920101.ASC;19920101
KB113_4746_19930101.asc;19930101
KB113_4746_19940101.asc;19940101
KB113_4746_19950101.asc;19950101
KB113_4746_19960101.asc;19960101
KB113_4746_19970101.asc;19970101
KB113_4746_19980101.ASC;19980101
KB113_4746_19990101.asc;19990101
KB113_4746_20000101.asc;20000101
KB113_4746_20010101.asc;20010101
KB113_4746_20010122.asc;20010122
KB113_4746_20020101.asc;20020101
KB113_4746_20030101.asc;20030101
KB113_4746_20040101.asc;20040101
KB113_4746_20040317.asc;20040317
KB113_4746_20050101.asc;20050101
KB113_4746_20050907.asc;20050907
KB113_4948_19500101.asc;19500101
KB113_4948_19550101.asc;19550101
KB113_4948_19580101.asc;19580101
KB113_4948_19600101.asc;19600101
KB113_4948_19620101.asc;19620101
KB113_4948_19640101.ASC;19640101
KB113_4948_19660101.asc;19660101
KB113_4948_19670101.asc;19670101
KB113_4948_19680101.ASC;19680101
KB113_4948_19700101.asc;19700101
KB113_4948_19720101.ASC;19720101
KB113_4948_19740101.asc;19740101
KB113_4948_19760101.ASC;19760101
KB113_4948_19780101.asc;19780101
KB113_4948_19800101.ASC;19800101
KB113_4948_19820101.asc;19820101
KB113_4948_19840101.ASC;19840101
KB113_4948_19860101.asc;19860101
KB113_4948_19880101.asc;19880101
KB113_4948_19890101.ASC;19890101
KB113_4948_19900101.asc;19900101
KB113_4948_19920101.ASC;19920101
KB113_4948_19940101.asc;19940101
KB113_4948_19950101.asc;19950101
KB113_4948_19960101.asc;19960101
KB113_4948_19970101.asc;19970101
KB113_4948_19980101.ASC;19980101
KB113_4948_19990101.asc;19990101
KB113_4948_20000101.asc;20000101
KB113_4948_20010101.asc;20010101
KB113_4948_20020101.asc;20020101
KB113_4948_20030101.asc;20030101
KB113_4948_20040101.asc;20040101
KB113_4948_20050101.asc;20050101
KB113_4948_20050907.asc;20050907
KB113_4948_20070425.asc;20070425
KB114_3938_19640101.asc;19640101
KB114_3938_19890101.ASC;19890101
KB114_4140_19600101.asc;19600101
KB114_4140_19640101.ASC;19640101
KB114_4140_19680101.ASC;19680101
KB114_4140_19720101.ASC;19720101
KB114_4140_19760101.ASC;19760101
KB114_4140_19800101.ASC;19800101
KB114_4140_19840101.ASC;19840101
KB114_4140_19880101.asc;19880101
KB114_4140_19890101.ASC;19890101
KB114_4140_19910101.asc;19910101
KB114_4140_19920101.ASC;19920101
KB114_4140_19950101.asc;19950101
KB114_4140_19960101.asc;19960101
KB114_4140_19980101.ASC;19980101
KB114_4140_19990101.asc;19990101
KB114_4140_19990301.asc;19990301
KB114_4140_20010101.asc;20010101
KB114_4140_20030709.asc;20030709
KB114_4140_20040101.asc;20040101
KB114_4140_20060816.asc;20060816
KB114_4342_19600101.asc;19600101
KB114_4342_19640101.ASC;19640101
KB114_4342_19680101.ASC;19680101
KB114_4342_19720101.ASC;19720101
KB114_4342_19760101.ASC;19760101
KB114_4342_19800101.ASC;19800101
KB114_4342_19840101.ASC;19840101
KB114_4342_19850101.asc;19850101
KB114_4342_19850106.asc;19850106
KB114_4342_19850601.asc;19850601
KB114_4342_19860101.asc;19860101
KB114_4342_19860106.asc;19860106
KB114_4342_19860601.asc;19860601
KB114_4342_19870101.asc;19870101
KB114_4342_19870106.asc;19870106
KB114_4342_19870601.asc;19870601
KB114_4342_19880101.asc;19880101
KB114_4342_19890101.ASC;19890101
KB114_4342_19900101.asc;19900101
KB114_4342_19910101.asc;19910101
KB114_4342_19920101.ASC;19920101
KB114_4342_19920106.asc;19920106
KB114_4342_19920601.asc;19920601
KB114_4342_19940101.asc;19940101
KB114_4342_19950101.asc;19950101
KB114_4342_19960101.asc;19960101
KB114_4342_19970101.asc;19970101
KB114_4342_19980101.ASC;19980101
KB114_4342_19980401.asc;19980401
KB114_4342_19990101.asc;19990101
KB114_4342_19990301.asc;19990301
KB114_4342_20000101.asc;20000101
KB114_4342_20000302.asc;20000302
KB114_4342_20010101.asc;20010101
KB114_4342_20040101.asc;20040101
KB114_4342_20070309.asc;20070309
KB114_4544_19600101.asc;19600101
KB114_4544_19640101.ASC;19640101
KB114_4544_19680101.ASC;19680101
KB114_4544_19720101.ASC;19720101
KB114_4544_19760101.ASC;19760101
KB114_4544_19800101.ASC;19800101
KB114_4544_19840101.ASC;19840101
KB114_4544_19850101.asc;19850101
KB114_4544_19850106.asc;19850106
KB114_4544_19850601.asc;19850601
KB114_4544_19860101.asc;19860101
KB114_4544_19860106.asc;19860106
KB114_4544_19860601.asc;19860601
KB114_4544_19870101.asc;19870101
KB114_4544_19870106.asc;19870106
KB114_4544_19870601.asc;19870601
KB114_4544_19880101.asc;19880101
KB114_4544_19890101.ASC;19890101
KB114_4544_19900101.asc;19900101
KB114_4544_19920101.ASC;19920101
KB114_4544_19920106.asc;19920106
KB114_4544_19920601.asc;19920601
KB114_4544_19940101.asc;19940101
KB114_4544_19950101.asc;19950101
KB114_4544_19970101.asc;19970101
KB114_4544_19980101.ASC;19980101
KB114_4544_19980401.asc;19980401
KB114_4544_20000101.asc;20000101
KB114_4544_20000302.asc;20000302
KB114_4544_20010101.asc;20010101
KB114_4544_20020423.asc;20020423
KB114_4544_20040101.asc;20040101
KB114_4544_20070309.asc;20070309
KB114_4544_20080414.asc;20080414
KB114_4746_19500101.asc;19500101
KB114_4746_19550101.asc;19550101
KB114_4746_19580101.asc;19580101
KB114_4746_19600101.asc;19600101
KB114_4746_19620101.asc;19620101
KB114_4746_19640101.asc;19640101
KB114_4746_19660101.asc;19660101
KB114_4746_19670101.asc;19670101
KB114_4746_19680101.asc;19680101
KB114_4746_19700101.asc;19700101
KB114_4746_19720101.asc;19720101
KB114_4746_19740101.asc;19740101
KB114_4746_19760101.asc;19760101
KB114_4746_19780101.asc;19780101
