id                                         , Unit,rws                                        ,normal
HD_98455_L_LMW-H_Moerdijk-g6, ,HD_984.55_L_LMW-H_Moerdijk-g6,Moerdijk 
HD_99815_L_LMW-H_Rak-noord, ,HD_998.15_L_LMW-H_Rak-noord,Rak noord 
HV_102431_R_Hellevoetsluis-g6, ,HV_1024.31_R_Hellevoetsluis-g6,Hellevoetsluis 
HY_1799_R_LMW-H_Krimpen-ad-IJssel-g6, ,HY_17.99_R_LMW-H_Krimpen-ad-IJssel-g6,Krimpen a/d IJssel 
KH_000_LMW-H_Scheveningen-g6, ,KH_0.00_LMW-H_Scheveningen-g6,Scheveningen 
LE_9471_R_LMW-H_Hagestein-beneden, ,LE_947.1_R_LMW-H_Hagestein-beneden,Hagestein beneden 
LE_9716_R_LMW-H_Schoonhoven, ,LE_971.6_R_LMW-H_Schoonhoven,Schoonhoven 
LE_9887_R_LMW-H_Krimpen-aan-de-Lek-g6, ,LE_988.7_R_LMW-H_Krimpen-aan-de-Lek-g6,Krimpen a/d Lek 
MA_20069_L_LMW-H_Lith-boven, ,MA_200.69_L_LMW-H_Lith-boven,Lith boven 
MA_20237_L_LMW-H_Lith-dorp, ,MA_202.37_L_LMW-H_Lith-dorp,Lith dorp 
MA_23061_L_LMW-H_Heesbeen, ,MA_230.61_L_LMW-H_Heesbeen,Heesbeen 
MA_24760_R_LMW-H_Keizersveer, ,MA_247.60_R_LMW-H_Keizersveer,Keizersveer 
NM_99947_R_LMW-H_Rotterdam-g6, ,NM_999.47_R_LMW-H_Rotterdam-g6,Rotterdam 
NM_101091_R_LMW-H_Vlaardingen-g6, ,NM_1010.91_R_LMW-H_Vlaardingen-g6,Vlaardingen 
NW_101875_R_LMW-H_Maassluis-g6, ,NW_1018.75_R_LMW-H_Maassluis-g6,Maassluis 
NW_103019_R_LMW-H_Hoek-van-Holland, ,NW_1030.19_R_LMW-H_Hoek-van-Holland,Hoek van Holland 
NZ_LMW-H_Brouwershavense-Gat-8-meetpaal, ,NZ_LMW-H_Brouwershavense-Gat-8-meetpaal,Brouwershavensche Gat 08 
NZ_000_LMW-H_Haringvliet-10, ,NZ_0.00_LMW-H_Haringvliet-10,Haringvliet 10 
NZ_000_LMW-H_Lichteiland-Goeree, ,NZ_0.00_LMW-H_Lichteiland-Goeree,Lichteiland Goeree 
OM_97625_L_LMW-H_Dordrecht-g6, ,OM_976.25_L_LMW-H_Dordrecht-g6,Dordrecht 
OM_99253_L_LMW-H_Goidschalxoord-g6, ,OM_992.53_L_LMW-H_Goidschalxoord-g6,Goidschalxoord 
OM_100304_L_LMW-H_Spijkenisse, ,OM_1003.04_L_LMW-H_Spijkenisse,Spijkenisse 
WL_9133_R_LMW-H_Tiel-Waal, ,WL_913.3_R_LMW-H_Tiel-Waal,Tiel Waal 
WL_9348_L_LMW-H_Zaltbommel, ,WL_934.8_L_LMW-H_Zaltbommel,Zaltbommel 
WL_9518_R_LMW-H_Vuren, ,WL_951.8_R_LMW-H_Vuren,Vuren 
SP_100713_R_LMW-H_Zuidland-g6, ,SP_1007.13_R_LMW-H_Zuidland-g6,ZUIDLD 
MIDDHNSMB, ,MIDDHNSMB,MIDDHNSMB 
SPIJKNSBWTLK, ,SPIJKNSBWTLK,Spijkenissebrug 
