Code,Omschrijving,Groep,Titel
I14869-2.02,ISO 14869-2:2002 en,Norm bodem-chemisch,Bodem - Ontsluiting voor de bepaling van het totale gehalte aan elementen - Deel 2: Ontsluiting met basische smelt
I14870.01,ISO 14870:2001 en,Norm bodem-chemisch,Bodem - Extractie van spoorelementen met een gebufferde DTPA-oplossing
I14911.99,NEN-EN-ISO 14911:1999 en,Norm water-chemisch,"Water - Bepaling van opgeloste Li<(sup)+>, Na<(sup)+>, NH<(inf)4> <(sup)+>, K<(sup)+>, Mn²<(sup)+>, Ca²<(sup)+>, Mg²<(sup)+>, Sr²<(sup)+> en Ba²<(sup)+> met ionchromatografie - Methode voor water en afvalwater"
I15009.02,NEN-ISO 15009:2002 en,Norm bodem-chemisch,"Bodem - Gaschromatografische bepaling van het gehalte aan vluchtige aromatische koolwaterstoffen, naftaleen en vluchtige gehalogeneerde koolwaterstoffen - """"Purge-and-trap""""-methode met thermische desorptie"
I15061.01,NEN-EN-ISO 15061:2001 en,Norm water-chemisch,Water - Bepaling van opgelost bromaat - Methode met vloeistofchromatografie van ionen
I15088.07,ISO 15088:2007 en,Norm water-biologisch,Water - Bepaling van de accute toxiciteit van afvalwater op eitjes van de zebravis (Danio rerio)
I15089.00,ISO 15089:2000 en,Norm water-chemisch,Waterkwaliteit - Leidraad voor selectieve immunoassays voor de bepaling van plantenbehandelings- en bestrijdingsmiddelen
I15178.00,ISO 15178:2000 en,Norm bodem-chemisch,Bodem - Bepaling van het totale gehalte aan zwavel door droge verbran ding
I15522.99,NEN-ISO 15522:1999 en,Norm water-biologisch,Water - Bepaling van het remmende effect van waterbestanddelen op de groei van micro-organismen in geactiveerd slib
I15553.06,NEN-ISO 15553:2006 en,Norm water-biologisch,Water - Isolatie en identificatie van <(cursief)Cryptosporidium> oocystsen <(cursief)Giardia> cysts uit water
I15586.03,NEN-EN-ISO 15586:2003 en,Norm water-chemisch,Water - Bepaling van sporenelementen met behulp van atomaire absorptiespectrometrie met grafietoventechniek
I15587-1.02,NEN-EN-ISO 15587-1:2002 en,Norm water-chemisch,Water - Ontsluiting voor de bepaling van geselecteerde elementen in water - Deel 1: Koningswater ontsluiting
I15587-2.02,NEN-EN-ISO 15587-2:2002 en,Norm water-chemisch,Water - Ontsluiting voor de bepaling van geselecteerde elementen in water - Deel 2: Ontsluiting met salpeterzuur
I15680.03,NEN-EN-ISO 15680:2003 en,Norm water-chemisch,"Water - Gaschromatografische bepaling van een aantal monocyclische aromatische koolwaterstoffen, naftaleen en verscheidene gechloreerde verbindingen met 'purge-and-trap' en thermische desorptie"
I15681-1.05,NEN-EN-ISO 15681-1:2005 en,Norm water-chemisch,Water - Bepaling van het gehalte aan orthofosfaat en het totale gehalte aan fosfor met behulp van doorstroomanalyse (FIA and CFA) - Deel 1: Methode met een doorstroominjectiesysteem (FIA)
I15681-2.05,NEN-EN-ISO 15681-2:2005 en,Norm water-chemisch,Water - Bepaling van het gehalte aan orthofosfaat en het totale gehalte aan fosfor met behulp van doorstroomanalyse (FIA and CFA) - Deel 2: Methode met een continu doorstroomanalysesysteem (CFA)
I15682.01,NEN-EN-ISO 15682:2001 en,Norm water-chemisch,Water - Bepaling van het gehalte aan chloride met doorstroomanalyse (CFA en FIA) en fotometrische of potentiometrische detectie
I15705.03,NEN-ISO 15705:2003 en,Norm water-chemisch,Water - Bepaling van het chemisch zuurstofverbruik (ST-COD) - Kleinschalige gesloten buis methode
I15913.03,NEN-EN-ISO 15913:2003 en,Norm water-chemisch,"Water - Bepaling van geselecteerde fenoxyalkaanherbicide , inclusief bentazonen en hydroxybenzonitrillen met gaschromatografie en massaspectrometrie na vastefase-extractie en derivatisering"
I15923-1.13,NEN-ISO 15923-1:2013 en,Norm water-chemisch,"Waterkwaliteit - Bepaling van de ionen met een discreet analysesysteem en spectrofotometrische detectie - Deel 1: Ammonium, chloride, nitraat, nitriet, ortho-fosfaat, silicaat en sulfaat"
