Code,Omschrijving,Groep
MgOdg,uitgedrukt in Magnesiumoxide / drooggewicht,HoedanigheidCombinatie
N,uitgedrukt in Stikstof,HoedanigheidEquivalent
NAP,t.o.v. Normaal Amsterdams Peil,ReferentieVlak
NVT,Niet van toepassing,(technisch)
Na2Odg,uitgedrukt in Natriumoxide / drooggewicht,HoedanigheidCombinatie
NaCl,uitgedrukt in natriumchloride,HoedanigheidEquivalent
Ndg,uitgedrukt in Stikstof / drooggewicht,HoedanigheidCombinatie
Nnbzndc,uitgedrukt in Stikstof na bezinken na decanteren,HoedanigheidCombinatie
Nndc,uitgedrukt in Stikstof na decanteren,HoedanigheidCombinatie
Nnf,uitgedrukt in Stikstof na filtratie,HoedanigheidCombinatie
Nnfdg,uitgedrukt in Stikstof na filtratie / drooggewicht,HoedanigheidCombinatie
Nodg,uitgedrukt in Stikstof / organisch drooggewicht,HoedanigheidCombinatie
Nos,uitgedrukt in Stikstof / organische stof,HoedanigheidCombinatie
Npg,uitgedrukt in Stikstof particulair gebonden,HoedanigheidCombinatie
O,uitgedrukt in Zuurstof (element),HoedanigheidEquivalent
O2,uitgedrukt in Zuurstof,HoedanigheidEquivalent
O2dg,uitgedrukt in Zuurstof / drooggewicht,HoedanigheidCombinatie
O2ndc,uitgedrukt in Zuurstof na decanteren,HoedanigheidCombinatie
O2nf,uitgedrukt in Zuurstof na filtratie,HoedanigheidCombinatie
OLA,t.o.v. Overeengekomen Lage Afvoer,ReferentieVlak
OLR1982,t.o.v. Overeengekomen Lage Rivierstand 1982.0,ReferentieVlak
OLR1992,t.o.v. Overeengekomen Lage Rivierstand 1992.0,ReferentieVlak
OLR2002,t.o.v. Overeengekomen Lage Rivierstand 2002.0,ReferentieVlak
OLW1972,t.o.v. Overeengekomen Lage Waterstand 1972.0,ReferentieVlak
OLW1982,t.o.v. Overeengekomen Lage Waterstand 1982.0,ReferentieVlak
OLW1991,t.o.v. Overeengekomen Lage Waterstand 1991.0,ReferentieVlak
OPGLT,opgelost,HoedanigheidOnterecht
OPN,open,HoedanigheidFractieBasis
P,uitgedrukt in Fosfor,HoedanigheidEquivalent
P2O5dg,uitgedrukt in P2O5 / drooggewicht,HoedanigheidCombinatie
P2O5ng,uitgedrukt in P2O5 / natgewicht,HoedanigheidCombinatie
PAF,uitgedrukt in Potentieel Aangetaste Fractie,HoedanigheidEquivalent
PBBK,t.o.v. peilbuis bovenkant,ReferentieVlak
PLAATSLR,t.o.v. plaatselijk referentievlak,ReferentieVlak
PO4,uitgedrukt in fosfaat,HoedanigheidEquivalent
POlsendg,uitgedrukt in Olsen-P (fosfor) / drooggewicht,HoedanigheidCombinatie
POlsenng,uitgedrukt in Olsen-P (fosfor) / natgewicht,HoedanigheidCombinatie
PVE,uitgedrukt in plaque vormende eenheden,HoedanigheidEquivalent
Pdg,uitgedrukt in Fosfor / drooggewicht,HoedanigheidCombinatie
Pndc,uitgedrukt in Fosfor na decanteren,HoedanigheidCombinatie
Pnf,uitgedrukt in Fosfor na filtratie,HoedanigheidCombinatie
Pos,uitgedrukt in Fosfor / organische stof,HoedanigheidCombinatie
Ppg,uitgedrukt in Fosfor particulair gebonden,HoedanigheidCombinatie
PtCo,uitgedrukt volgens PtCo-schaal,HoedanigheidEquivalent
RAAIRTG,t.o.v. raairichting,ReferentieRichting
RECHTOVR,t.o.v. rechteroever,ReferentieRichting
S,uitgedrukt in Zwavel,HoedanigheidEquivalent
SENSR,t.o.v. (hoogte van) sensor,ReferentieVlak
SO4,uitgedrukt in sulfaat,HoedanigheidEquivalent
SO4nf,uitgedrukt in Sulfaat na filtratie,HoedanigheidCombinatie
SPRONGLG,t.o.v. spronglaag,ReferentieVlak
SUBMS,Submerse fractie,HoedanigheidFractieBasis
Sdg,uitgedrukt in zwavel / drooggewicht,HoedanigheidCombinatie
Si,uitgedrukt in Silicium,HoedanigheidEquivalent
Sinf,uitgedrukt in Silicium na filtratie,HoedanigheidCombinatie
Sipg,uitgedrukt in Silicium particulair gebonden,HoedanigheidCombinatie
Sn,uitgedrukt in Tin,HoedanigheidEquivalent
Sndg,uitgedrukt in Tin / drooggewicht,HoedanigheidCombinatie
Snf,uitgedrukt in Zwavel na filtratie,HoedanigheidCombinatie
TAW,t.o.v. Tweede Algemene Waterpassing,ReferentieVlak
TEQ,uitgedrukt in Toxiciteit Equivalenten,HoedanigheidEquivalent
TEQdg,uitgedrukt in Toxiciteit Equivalenten / drooggewicht,HoedanigheidCombinatie
TOERTHG,toerental hoog,HoedanigheidFractieBasis
TOERTLG,toerental laag,HoedanigheidFractieBasis
TOERTMDL,toerental middel,HoedanigheidFractieBasis
TansleyS,uitgedrukt volgens Tansley-schaal,HoedanigheidEquivalent
VETGWT,t.o.v. vetgewicht,HoedanigheidReferentieBasis
VL-0,Vislengteklasse-0 (0+: vis in het eerste levensjaar),BiologischKenmerk
VL-1,Vislengteklasse-1 (ouder dan 0+ en met een lengte t/m 15 cm),BiologischKenmerk
VL-2,Vislengteklasse-2 (16 t/m 25 cm),BiologischKenmerk
VL-3,Vislengteklasse-3 (26 t/m 40 cm),BiologischKenmerk
VL-4,Vislengteklasse-4 (groter dan 40 cm),BiologischKenmerk
VLSK-1,Vislengte snoek klasse 1 (0 t/m 15 cm),BiologischKenmerk
VLSK-2,Vislengte snoek klasse 2 (16 t/m 35 cm),BiologischKenmerk
VLSK-3,Vislengte snoek klasse 3 (36 t/m 44 cm),BiologischKenmerk
VLSK-4,Vislengte snoek klasse 4 (45 t/m 54 cm),BiologischKenmerk
VLSK-5,Vislengte snoek klasse 5 (groter dan 54 cm),BiologischKenmerk
VV-B,Verschijningsvorm-Behaard,BiologischKenmerk
VV-G,Verschijningsvorm-Gepantserd,BiologischKenmerk
VV-N,Verschijningsvorm-Naakt,BiologischKenmerk
WARNDN,t.o.v. ware Noorden,ReferentieRichting
WATKLM,uitgedrukt in hoogte waterkolom,HoedanigheidEquivalent
WATSGL,t.o.v. waterspiegel,ReferentieVlak
WI,uitgedrukt in Waterindex,HoedanigheidEquivalent
absdg,t.o.v. absorbent drooggewicht,HoedanigheidReferentieBasis
adg,asvrij drooggewicht,HoedanigheidFractieBasis
blauwalg,fractie afkomstig van blauwalgen,HoedanigheidFractieBasis
cel,uitgedrukt in cellen,HoedanigheidEquivalent
coe,uitgedrukt in coenobia,HoedanigheidEquivalent
cryptofy,fractie afkomstig van cryptofyten,HoedanigheidFractieBasis
dBZV,BZV verwijderd,HoedanigheidFractieBasis
dBZVdg,BZV verwijderd / drooggewicht,HoedanigheidCombinatie
dCZV,CZV verwijderd,HoedanigheidFractieBasis
dCZVdg,CZV verwijderd / drooggewicht,HoedanigheidCombinatie
dTZV,TZV verwijderd,HoedanigheidFractieBasis
dTZVdg,TZV verwijderd / drooggewicht,HoedanigheidCombinatie
dg,t.o.v. drooggewicht,HoedanigheidReferentieBasis
diatomee,fractie afkomstig van diatomeeën,HoedanigheidFractieBasis
fil,uitgedrukt in filamenten,HoedanigheidEquivalent
glucse,uitgedrukt als glucose,HoedanigheidEquivalent
grensWTP,t.o.v. grensvlak wel/geen begroeiing waterplanten,HoedanigheidReferentieBasis
groenalg,fractie afkomstig van groenalgen,HoedanigheidFractieBasis
hor-vlak,in horizontaal vlak,ReferentieRichting
hyf,hydroliseerbare fractie,HoedanigheidFractieBasis
kol,uitgedrukt in kolonies,HoedanigheidEquivalent
md,minerale delen ( OS / Calciet verwijderd),HoedanigheidFractieBasis
nb,na beluchten,HoedanigheidOnterecht
nbz,na bezinken,HoedanigheidOnterecht
nc,na centifugeren,HoedanigheidOnterecht
nd,na verdunning,HoedanigheidOnterecht
ndc,na decanteren,HoedanigheidOnterecht
ne,na extractie,HoedanigheidOnterecht
nf,na filtratie (opgeloste fractie),HoedanigheidFractieBasis
nfdg,na filtratie / drooggewicht,HoedanigheidCombinatie
