Code;Omschrijving;Groep;Titel;D_BEGIN;D_EIND;D_STATUS
"HH-W8B:2010";"HH-8B Analyse van sieralgen in opp.w. met een omkeermicrosc.";"Voorschrift";"Handboek Hydrobiologie - Werkvoorschrift 8B - Analyse van sieralgen in oppervlaktewater met een omkeermicroscoop";11-06-2011;;"G"
"HH-W8C:2010";"HH-8C Analyse van sieralgen in opp.w. met staande microsc.";"Voorschrift";"Handboek Hydrobiologie - Werkvoorschrift 8C - Analyse van sieralgen in oppervlaktewater met staande microscoop";11-06-2011;;"G"
"HH-W9B:2010";"HH-9B Analyse van kiezelwieren in oppervlaktewater";"Voorschrift";"Handboek Hydrobiologie - Werkvoorschrift 9B - Analyse van kiezelwieren in oppervlaktewater";11-06-2011;;"G"
"I10048.91";"ISO 10048:1991 en";"Norm water-chemisch";"Water quality - Determination of nitrogen - Catalytic digestion after reduction with Devarda's alloy";11-06-2011;;"G"
"I10229.94";"ISO 10229:1994 en";"Norm water-biologisch";"Water quality - Determination of the prolonged toxicity of substances to freshwater fish - Method for evaluating the effects of substances on the growth rate of rainbow trout (Oncorhynchus mykiss Walbaum (Teleostei, Salmonidae))";11-06-2011;;"G"
"I10253.06";"NEN-EN-ISO 10253:2006 en";"Norm water-biologisch";"Water - Proef voor de bepaling van het groeiremmend effect op zoutwateralgen met Skeletonema costatum en Phaeodactylum tricornutum";11-06-2011;;"G"
"I10260.92";"ISO 10260:1992 en";"Norm water-chemisch";"Water quality - Measurement of biochemical parameters - Spectrometric determination of the chlorophyll-a concentration";11-06-2011;;"G"
"I10301.97";"NEN-EN-ISO 10301:1997 en";"Norm water-chemisch";"Water - Bepaling van zeer vluchtige gehalogeneerde koolwaterstoffen - Gaschromatografische methoden";11-06-2011;;"G"
"I10304-1.09";"NEN-EN-ISO 10304-1:2009 en";"Norm water-chemisch";"Water - Bepaling van opgeloste anionen met vloeistofionchromatografie - Deel 1: Bepaling van bomide, chloride, fluoride, nitraat, nitriet, fosfaat en sulfaat";06-12-2011;;"G"
"I10304-1.95";"NEN-EN-ISO 10304-1:1995 en";"Norm vervallen";"Water - Bepaling van opgeloste fluoride-, chloride-, nitriet-, orthofosfaat-, bromide-, nitraat- en sulfaationen met vloeistofchromatografie - Deel 1: Methode voor water met geringe vervuiling";06-12-2011;;"G"
"I10304-2.96";"NEN-EN-ISO 10304-2:1996 en";"Norm vervallen";"Water - Bepaling van opgeloste anionen met vloeistofionchromatografie - Deel 2: Bepaling van bromide, chloride, nitraat, nitriet, ortofosfaat en sulfaat in afvalwater";06-12-2011;;"G"
"I10304-3.97";"NEN-EN-ISO 10304-3:1997 en";"Norm water-chemisch";"Water - Bepaling van opgeloste anionen met vloeistofionchromatografie - Deel 3: Bepaling van chromaat, jodide, sulfiet, thiocyanaat en thiosulfaat";11-06-2011;;"G"
"I10304-4.99";"NEN-EN-ISO 10304-4:1999 en";"Norm water-chemisch";"Water - Bepaling van opgeloste anionen met vloeistofionchromatografie - Deel 4: Bepaling van het gehalte aan chloraat, chloride en chloriet in water met een lichte verontreiniging";11-06-2011;;"G"
"I10359-1.92";"ISO 10359-1:1992 en";"Norm water-chemisch";"Water quality - Determination of fluoride - Part 1: Electrochemical probe method for potable and lightly polluted water";11-06-2011;;"G"
"I10359-2.94";"ISO 10359-2:1994 en";"Norm water-chemisch";"Water quality - Determination of fluoride - Part 2: Determination of inorganically bound total fluoride after digestionand distillation";11-06-2011;;"G"
"I10381-2.02";"ISO 10381-2:2002 en";"Norm bodem-chemisch";"Bodem - Monsterneming - Deel 2 - Richtlijn voor monsternemingtechnieken";11-06-2011;;"G"
"I10382.02";"ISO 10382:2002 en";"Norm bodem-chemisch";"Bodem - Bepaling van organochloorbestrijdingsmiddelen en polychloorbifenylen - Gaschromatografische bepaling met elektronen-invangdetectie";06-12-2011;;"G"
"I10382.03";"NEN-ISO 10382:2003 en";"Norm vervallen";"Bodem - Bepaling van organochloorbestrijdingsmiddelen en polychloorbifenylen - Gaschromatografische bepaling met elektronen-invangdetectie";06-12-2011;;"G"
"I10390.05";"NEN-ISO 10390:2005 en";"Norm bodem-chemisch";"Bodem - Bepaling van de pH waarde";11-06-2011;;"G"
